team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
PIT,6/15/2021,1,624428,Adam Frazier,1,N,
PIT,6/15/2021,1,663647,Ke'Bryan Hayes,2,N,
PIT,6/15/2021,1,668804,Bryan Reynolds,3,N,
PIT,6/15/2021,1,607732,Jacob Stallings,4,N,
PIT,6/15/2021,1,595943,Phillip Evans,5,N,
PIT,6/15/2021,1,570481,Erik Gonzalez,6,N,
PIT,6/15/2021,1,664789,Ka'ai Tom,7,N,
PIT,6/15/2021,1,621028,Kevin Newman,8,N,
PIT,6/15/2021,1,542881,Tyler Anderson,SP,N,
WAS,6/15/2021,1,607208,Trea Turner,1,N,
WAS,6/15/2021,1,665742,Juan Soto,2,N,
WAS,6/15/2021,1,475582,Ryan Zimmerman,3,N,
WAS,6/15/2021,1,656941,Kyle Schwarber,4,N,
WAS,6/15/2021,1,543281,Josh Harrison,5,N,
WAS,6/15/2021,1,543228,Yan Gomes,6,N,
WAS,6/15/2021,1,516770,Starlin Castro,7,N,
WAS,6/15/2021,1,645302,Victor Robles,8,N,
WAS,6/15/2021,1,571578,Patrick Corbin,SP,N,
NYY,6/15/2021,1,518934,DJ LeMahieu,1,N,
NYY,6/15/2021,1,592450,Aaron Judge,2,N,
NYY,6/15/2021,1,650402,Gleyber Torres,3,N,
NYY,6/15/2021,1,519317,Giancarlo Stanton,4,N,
NYY,6/15/2021,1,570482,Giovanny Urshela,5,N,
NYY,6/15/2021,1,609280,Miguel Andujar,6,N,
NYY,6/15/2021,1,656467,Chris Gittens,7,N,
NYY,6/15/2021,1,543309,Kyle Higashioka,8,N,
NYY,6/15/2021,1,640449,Clint Frazier,9,N,
NYY,6/15/2021,1,656756,Jordan Montgomery,SP,N,
TOR,6/15/2021,1,543760,Marcus Semien,1,N,
TOR,6/15/2021,1,666182,Bo Bichette,2,N,
TOR,6/15/2021,1,665489,Vladimir Guerrero,3,N,
TOR,6/15/2021,1,606192,Teoscar Hernandez,4,N,
TOR,6/15/2021,1,545341,Randal Grichuk,5,N,
TOR,6/15/2021,1,666971,Lourdes Gurriel,6,N,
TOR,6/15/2021,1,624415,Cavan Biggio,7,N,
TOR,6/15/2021,1,656180,Riley Adams,8,N,
TOR,6/15/2021,1,641505,Jonathan Davis,9,N,
TOR,6/15/2021,1,547943,Hyun-Jin Ryu,SP,N,
CHC,6/15/2021,1,592626,Joc Pederson,1,N,
CHC,6/15/2021,1,592178,Kris Bryant,2,N,
CHC,6/15/2021,1,595879,Javier Baez,3,N,
CHC,6/15/2021,1,519203,Anthony Rizzo,4,N,
CHC,6/15/2021,1,575929,Willson Contreras,5,N,
CHC,6/15/2021,1,664023,Ian Happ,6,N,
CHC,6/15/2021,1,518792,Jason Heyward,7,N,
CHC,6/15/2021,1,642727,Sergio Alcantara,8,N,
CHC,6/15/2021,1,621219,Alec Mills,SP,N,
NYM,6/15/2021,1,542340,Jonathan Villar,1,N,
NYM,6/15/2021,1,596019,Francisco Lindor,2,N,
NYM,6/15/2021,1,624413,Peter Alonso,3,N,
NYM,6/15/2021,1,642086,Dominic Smith,4,N,
NYM,6/15/2021,1,543510,James McCann,5,N,
NYM,6/15/2021,1,641856,Billy McKinney,6,N,
NYM,6/15/2021,1,607680,Kevin Pillar,7,N,
NYM,6/15/2021,1,592863,Mason Williams,8,N,
NYM,6/15/2021,1,592836,Taijuan Walker,SP,N,
BAL,6/15/2021,1,656775,Cedric Mullins,1,N,
BAL,6/15/2021,1,641820,Trey Mancini,2,N,
BAL,6/15/2021,1,623993,Anthony Santander,3,N,
BAL,6/15/2021,1,520471,Freddy Galvis,4,N,
BAL,6/15/2021,1,663624,Ryan Mountcastle,5,N,
BAL,6/15/2021,1,621466,DJ Stewart,6,N,
BAL,6/15/2021,1,596748,Maikel Franco,7,N,
