Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Todd Frazier","3 Tms",75,0.09333333,0.2,0.46666667,0.27272727,0.36,0.45454545,0.81454545,0.18181818,0.32653061,11.589812220130899,2.273465969656445,0.35413960854212445,126.49398570388095,785
"Total","Albert Pujols","2 Tms",112,0.01785714,0.14285714,0.125,0.24770642,0.26785714,0.43119266,0.6990498,0.18348624,0.25,12.012960065839,-1.6352109268930508,0.2989958625819002,89.75696695082483,1177
"Total","Wilson Ramos","2 Tms",75,0.10666667,0.21333333,0.5,0.20895522,0.29333333,0.29850746,0.59184079,0.08955224,0.26,6.35425632724408,-2.8012589039480313,0.2682644065221151,68.64194564410474,1433
"Total","Miguel Cabrera","DET",76,0.13157895,0.23684211,0.55555556,0.31818182,0.40789474,0.48484848,0.89274322,0.16666666,0.4,14.02317290343209,4.795739587022504,0.3892882748654014,149.3465163562565,1744
"Total","Edwin Encarnacion","CHW",41,0.14634146,0.29268293,0.5,0.12121212,0.275,0.42424242,0.69924242,0.3030303,0.05555556,4.546757401719676,-0.5999080223888298,0.3024191915988922,91.33913462916723,2151
"Total","Carlos Santana","2 Tms",124,0.08870968,0.12096774,0.73333333,0.28828829,0.35483871,0.48648649,0.8413252,0.1981982,0.29347826,19.68423835416128,4.63694694121172,0.3615465380491749,129.10530636564155,2396
"Total","Nelson Cruz","MIN",107,0.08411215,0.14018692,0.6,0.38947368,0.45283019,0.70526316,1.15809335,0.31578948,0.3943662,27.95835418561042,15.027175884037623,0.4809210560854199,214.12853673856733,2434
"Total","Manny Pina","MIL",44,0.15909091,0.18181818,0.875,0.22222222,0.36363636,0.5,0.86363636,0.27777778,0.2,7.433510452642708,2.106830999388963,0.3757854943925684,136.6811416285272,2829
"Total","Roberto Perez","CLE",62,0.14516129,0.32258065,0.45,0.17307692,0.30645161,0.38461538,0.69106699,0.21153846,0.20689655,7.073967505005095,-0.40500291833570223,0.30887499836183363,92.97448065285973,2900
"Total","Tommy Pham","SDP",81,0.18518519,0.19753086,0.9375,0.25,0.39506173,0.46875,0.86381173,0.21875,0.26666667,13.968729244977931,4.211939426571826,0.3767660407372463,141.2207382177879,2967
"Total","Charlie Culberson","2 Tms",53,0.05660377,0.20754717,0.27272727,0.34693878,0.38461538,0.57142857,0.95604395,0.22448979,0.41666667,10.228467792924521,4.01327904378998,0.4049636873544431,164.42289645997832,3298
"Total","Ryan Braun","MIL",48,0.08333333,0.1875,0.44444444,0.23255814,0.29787234,0.37209302,0.66996536,0.13953488,0.25,4.978360590156818,-1.0470038087994804,0.29390826123826047,80.83243290618131,3410
"Total","Jed Lowrie","OAK",81,0.04938272,0.19753086,0.25,0.31168831,0.34567901,0.38961039,0.7352894,0.07792208,0.39344262,10.39592207807632,0.9518592416080995,0.3240830015253138,112.39989421059393,4418
"Total","Starlin Castro","WSN",65,0.04615385,0.21538462,0.21428571,0.37704918,0.4,0.47540984,0.87540984,0.09836066,0.47916667,11.303304203133457,3.5728392976330445,0.37769360358898457,137.992844305951,4579
"Total","Giancarlo Stanton","NYY",62,0.08064516,0.24193548,0.33333333,0.24561404,0.30645161,0.40350877,0.70996038,0.15789473,0.3,7.301664728431683,-0.11476029852153716,0.3104166696148534,97.89352243593103,4949
"Total","Asdrubal Cabrera","2 Tms",88,0.06818182,0.15909091,0.42857143,0.2875,0.32954545,0.55,0.87954545,0.2625,0.296875,14.005032446305517,3.262322973530058,0.36012839585885237,124.62772287650843,4962
"Total","Josh Donaldson","MIN",69,0.1884058,0.1884058,1,0.21818182,0.37681159,0.4,0.77681159,0.18181818,0.23076923,9.990252383354168,1.7487387213139336,0.34556643577182994,120.15529526087256,5038
"Total","Justin Upton","LAA",120,0.08333333,0.31666667,0.26315789,0.2293578,0.3,0.53211009,0.83211009,0.30275229,0.24590164,18.05898149918918,3.4601934463918633,0.35102096050977705,125.10899993922115,5222
"Total","Justin Turner","LAD",128,0.140625,0.203125,0.69230769,0.23584906,0.3515625,0.4245283,0.7760908,0.18867924,0.25974026,18.215192109278075,2.7730076759370466,0.34086259827017784,118.80474812797618,5235
"Total","Robbie Grossman","2 Tms",83,0.15662651,0.21686747,0.72222222,0.25373134,0.37349398,0.46268657,0.83618055,0.20895523,0.30612245,13.019542535126561,3.127851602912302,0.36117698270154286,131.8845573493608,5254
