Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Todd Frazier","3 Tms",137,0.05109489,0.24087591,0.21212121,0.17460317,0.24087591,0.26984127,0.51071718,0.0952381,0.21978022,7.0686539844012435,-9.869623595442755,0.2299439023881063,42.648716788182426,785
"Total","Albert Pujols","2 Tms",175,0.06285714,0.16,0.39285714,0.18867925,0.25714286,0.34591195,0.60305481,0.1572327,0.184,13.466359144247127,-7.804180810057568,0.260155975129563,63.937117419843965,1177
"Total","Wilson Ramos","2 Tms",208,0.03846154,0.21153846,0.18181818,0.22564103,0.26213592,0.42051282,0.68264874,0.19487179,0.23943662,21.347116309271538,-3.878225480152883,0.29254116884713033,85.5910441817179,1433
"Total","Miguel Cabrera","DET",294,0.0952381,0.22789116,0.41791045,0.20912548,0.28571429,0.3460076,0.63172189,0.13688212,0.23529412,26.80665125371894,-9.169459800701532,0.2781057943663093,72.97300048277393,1744
"Total","Edwin Encarnacion","CHW",140,0.07142857,0.3,0.23809524,0.16666667,0.24285714,0.36507937,0.60793651,0.1984127,0.17948718,10.856684779266788,-6.717294717689082,0.2628924012184143,64.28305136328973,2151
"Total","Nelson Cruz","MIN",279,0.10394265,0.27240143,0.38157895,0.25726141,0.34532374,0.50622407,0.85154781,0.24896266,0.29801325,43.887111567026395,9.901147566801324,0.3585653183233999,128.78582065349582,2434
"Total","Manny Pina","MIL",57,0.10526316,0.24561404,0.42857143,0.20833333,0.31578947,0.41666667,0.73245614,0.20833334,0.21875,7.168289687568647,0.3169613891191305,0.31914933522542316,100.17894106142268,2829
"Total","Roberto Perez","CLE",121,0.10743802,0.38016529,0.2826087,0.14150943,0.24793388,0.17924528,0.42717916,0.03773585,0.23728814,4.101347810324529,-10.739124403599401,0.20848079752330936,24.472357141085297,2900
"Total","Tommy Pham","SDP",217,0.13824885,0.21198157,0.65217391,0.20108696,0.31797235,0.26630435,0.5842767,0.06521739,0.25547445,18.860239154067372,-7.23574181798425,0.27378437953061224,73.48066097438748,2967
"Total","Robinson Chirinos","2 Tms",50,0.04,0.32,0.125,0.10638298,0.14,0.12765957,0.26765957,0.02127659,0.15625,-2.0106230734334636,-8.287044322346274,0.12331655979156494,-29.477602544188994,3142
"Total","Charlie Culberson","2 Tms",67,0.05970149,0.35820896,0.16666667,0.16129032,0.21212121,0.24193548,0.45405669,0.08064516,0.24324324,2.218665596885998,-5.619895252542179,0.2047944628831112,27.353036875615906,3298
"Total","Ryan Braun","MIL",93,0.03225806,0.19354839,0.16666667,0.23255814,0.27173913,0.54651163,0.81825076,0.31395349,0.22222222,12.978986886179554,1.3048433632017258,0.3363915267197982,108.87115300079006,3410
"Total","Drew Butera","2 Tms",50,0.02,0.34,0.05882353,0.11363636,0.13043478,0.11363636,0.24407114,0,0.17857143,-2.2610382456701212,-8.269407795779031,0.11121668763782667,-43.46130789610529,3411
"Total","Jeff Mathis","2 Tms",57,0.07017544,0.36842105,0.19047619,0.16981132,0.22807018,0.39622642,0.6242966,0.2264151,0.20689655,4.564408802583989,-2.537101081415836,0.26419169442695484,65.59751136943747,3448
"Total","Ryan Zimmerman","WSN",50,0.08,0.22,0.36363636,0.2826087,0.34,0.58695652,0.92695652,0.30434782,0.29032258,9.228772174513832,3.3991037569408564,0.39444852352142334,149.86462467169684,4220
"Total","Howie Kendrick","WSN",74,0.08108108,0.18918919,0.42857143,0.3030303,0.35135135,0.36363636,0.71498771,0.06060606,0.37037037,8.287753744976152,-1.0013497034148091,0.30372314982944065,85.96098796602242,4229
"Total","Starlin Castro","WSN",190,0.07368421,0.16842105,0.4375,0.2183908,0.27368421,0.32758621,0.60127042,0.10919541,0.24285714,15.355437929081221,-7.208314662528734,0.2655035891030964,64.18962058559923,4579
"Total","Giancarlo Stanton","NYY",181,0.12707182,0.30939227,0.41071429,0.27096774,0.37222222,0.5483871,0.92060932,0.27741936,0.35227273,33.1273078616274,11.371649056257072,0.3904830344607321,151.92753111474005,4949
