Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Tommy Hunter","2 Tms",14.1,64,8.1627907,1.88372093,4.33333333,0.62790698,0.203125,0.046875,0.15625,0.26785714,1.25581395,0.31818182,0.81632653,3.5277359237646624,4.075099328932776,1157
"Total","Matt Bush","TEX",1.1,5,13.50000003,6.75000002,2,0,0.4,0.2,0.2,0,0.75,0,1,2.3875791549682615,5.005865612826443,1246
"Total","Adam Ottavino","2 Tms",11.1,62,14.29411765,9.52941177,1.5,0,0.29032258,0.19354839,0.09677419,0.29166667,2.29411765,0.4516129,0.62962963,3.422871160949405,4.39534799492006,1247
"Total","Zack Greinke","HOU",67.1,256,9.08910891,1.73762376,5.23076923,0.4009901,0.265625,0.05078125,0.21484375,0.19917012,0.90594059,0.26315789,0.74394464,2.349000482610289,3.0479143836197062,1943
"Total","Ivan Nova","DET",11,51,2.45454545,4.90909091,0.5,1.63636364,0.05882353,0.11764706,-0.05882353,0.26666667,1.63636364,0.25,0.65789474,6.6459652421752935,6.035308028893038,1994
"Total","Clayton Kershaw","LAD",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,2036
"Total","Adam Wainwright","STL",66,268,7.22727273,2.31818182,3.11764706,1.5,0.19776119,0.06343284,0.13432835,0.21862348,1.07575758,0.23369565,0.75085324,4.633652598748785,4.298348650664684,2233
"Total","Hector Rondon","ARI",7.2,38,14.08695652,5.86956521,2.4,2.34782609,0.31578947,0.13157895,0.18421052,0.28125,1.82608696,0.38888889,0.81967213,5.800115442175294,4.4209262894384835,2391
"Total","Corey Kluber","2 Tms",23,91,10.56521739,2.73913043,3.85714286,0,0.2967033,0.07692308,0.21978022,0.1875,0.95652174,0.27272727,0.75,1.966007012238133,3.5676923610593967,2429
"Total","Lance Lynn","2 Tms",71.2,286,8.91627907,2.6372093,3.38095238,0.87906977,0.24825175,0.07342657,0.17482518,0.17938931,0.94883721,0.21505376,0.89527027,3.378685024156125,4.191417630216293,2520
"Total","Jhoulys Chacin","2 Tms",9.2,52,6.51724138,7.44827586,0.875,1.86206896,0.13461538,0.15384615,-0.01923077,0.31818182,2.27586207,0.34285714,0.78125,6.872856527145186,6.786823898939755,2608
"Total","Rick Porcello","NYM",26,115,7.96153846,2.42307692,3.28571429,0.34615385,0.2,0.06086957,0.13913043,0.27777778,1.42307692,0.3452381,0.53370787,2.7298813321752933,4.15815839102635,2717
"Total","Kenley Jansen","LAD",23.2,92,12.92957746,4.18309859,3.09090909,0.76056338,0.36956522,0.11956522,0.25,0.12987013,0.88732394,0.18604651,0.69306931,3.039634710660056,3.8038156797325584,3096
"Total","Tony Watson","LAA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,3132
"Total","Max Scherzer","WSN",70,293,11.95714286,2.57142857,4.65,0.9,0.31740614,0.06825939,0.24914675,0.23595506,1.18571429,0.32748538,0.85106383,2.747906307691476,3.486906230023929,3137
"Total","Will Harris","WSN",10.1,48,12.19354839,2.61290323,4.66666667,0.87096774,0.29166667,0.0625,0.22916667,0.28888889,1.5483871,0.4,0.68493151,2.5951434794327253,2.7945671199472084,3192
"Total","Ervin Santana","KCR",9.2,41,6.51724138,3.72413793,1.75,2.79310345,0.17073171,0.09756098,0.07317073,0.24324324,1.34482759,0.22222222,1,6.9651653649682626,5.639254795334028,3200
"Total","Jeff Samardzija","SFG",8,35,3.375,4.5,0.75,2.25,0.08571429,0.11428571,-0.02857142,0.22580645,1.375,0.19230769,0.85365854,7.191419792175293,8.03900854550302,3254
"Total","Joe Smith","HOU",5.1,22,8.43750001,1.6875,5,0,0.22727273,0.04545455,0.18181818,0.26315789,1.125,0.33333333,0.85714286,2.3875791549682623,4.351293995617433,3281
"Total","Anibal Sanchez","WSN",29.2,130,7.28089888,2.73033708,2.66666667,1.21348315,0.18461538,0.06923077,0.11538461,0.3,1.51685393,0.34782609,0.79207921,4.337487212175294,4.924609932677946,3284
"Total","Darren O'Day","2 Tms",6,25,12,4.5,2.66666667,1.5,0.32,0.12,0.2,0.1,0.83333333,0.09090909,0.89285714,5.164499473571778,5.447033715248109,3321
"Total","Drew Butera","COL",0.2,4,0,0,0,0,0,0,0,0.5,2.99999999,0.5,1,3.1914197921752927,8.976250944419693,3411
"Total","Danny Duffy","KCR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,3542
"Total","Liam Hendriks","2 Tms",22.2,87,15.48529412,1.19117647,13,1.58823529,0.44827586,0.03448276,0.4137931,0.17857143,0.79411765,0.26829268,0.80645161,2.4105406031934486,1.7819756134349334,3548
"Total","Matt Magill","SEA",3.2,15,9.81818181,7.36363636,1.33333333,0,0.26666667,0.2,0.06666667,0.16666667,1.36363636,0.25,0.6,3.464147062175293,5.041828294448164,3950
"Total","Edinson Volquez","TEX",2.2,12,3.375,3.375,1,0,0.08333333,0.08333333,0,0.27272727,1.5,0.3,0.75,3.566419792175293,4.289523688448733,3990
"Total","Yusmeiro Petit","OAK",21,74,6,1.71428571,3.5,0,0.18918919,0.05405405,0.13513514,0.13043478,0.61904762,0.16071429,0.84615385,2.3961851139042736,4.985518893173763,4020
"Total","Pedro Strop","2 Tms",1,9,9,36,0.25,0,0.11111111,0.44444444,-0.33333333,0.4,6,0.5,0.5,13.173472913285751,15.10174997367527,4070
"Total","Derek Holland","DET",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,4141
"Total","Jake Arrieta","2 Tms",50,229,7.38,4.32,1.70833333,1.8,0.1790393,0.10480349,0.07423581,0.29441624,1.64,0.31788079,0.69014085,5.739474347428866,5.114376907245703,4153
"Total","Rafael Dolis","TOR",18.1,78,13.25454545,7.85454545,1.6875,0.49090909,0.34615385,0.20512821,0.14102564,0.13333333,1.30909091,0.20588235,0.75221239,3.553659558642794,4.142114058865165,4185
"Total","Mark Melancon","2 Tms",20,81,5.85,2.7,2.16666667,0,0.16049383,0.07407407,0.08641976,0.21621622,1.1,0.25806452,0.81818182,2.761807441711426,3.418429137021303,4264
"Total","Justin Wilson","NYM",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,4301
"Total","Tyler Chatwood","2 Tms",19,83,12.31578947,4.73684211,2.6,0,0.31325301,0.12048193,0.19277108,0.24657534,1.47368421,0.38297872,0.82142857,2.0146336005142578,3.111767400922448,4338
"Total","Erik Kratz","NYY",1.1,4,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,6.08383538999061,4403
"Total","Jordan Zimmermann","2 Tms",5.2,29,4.76470588,4.76470588,1,0,0.10344828,0.10344828,0,0.46153846,2.64705882,0.52173913,0.66666667,3.6954947817081587,4.959880073611417,4505
"Total","Charlie Morton","2 Tms",38.2,168,12.10344828,3.95689655,3.05882353,1.62931035,0.30952381,0.10119048,0.20833333,0.22377622,1.26724138,0.29069767,0.61946903,4.60859804275327,3.920224774861942,4676
"Total","Nate Jones","3 Tms",13.1,61,8.775,5.4,1.625,2.7,0.21311475,0.13114754,0.08196721,0.24,1.5,0.24242424,0.97701149,7.597575569148795,5.812061433287898,4696
"Total","Matt Shoemaker","2 Tms",39.2,185,7.03361344,4.53781513,1.55,2.26890756,0.16756757,0.10810811,0.05945946,0.26993865,1.61344538,0.27419355,0.7,6.387092031444428,5.339732404110599,4776
"Total","Asdrubal Cabrera","ARI",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,4962
"Total","Jeurys Familia","NYM",17.2,84,7.64150943,7.64150943,1,0.50943396,0.17857143,0.17857143,0,0.26086957,1.86792453,0.32075472,0.88607595,4.749913064106291,5.797164425426828,5114
"Total","Wade LeBlanc","BAL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,5221
"Total","Blake Parker","2 Tms",7.2,40,15.26086958,7.04347827,2.16666667,0,0.325,0.15,0.175,0.29411765,2.08695652,0.47619048,0.75,2.145600634926796,2.9001438313497077,5224
"Total","Wilmer Font","TOR",5,30,7.2,9,0.8,1.8,0.13333333,0.16666667,-0.03333334,0.4,3,0.45,0.36764706,7.191419792175293,8.447973912954332,5257
"Total","Sandy Leon","MIA",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,5.755865595064295,5273
"Total","Michael Pineda","MIN",37.2,160,9.07964602,2.62831858,3.45454545,1.19469027,0.2375,0.06875,0.16875,0.2585034,1.30088496,0.31132075,0.83333333,3.7402321217902834,4.399561862971021,5372
"Total","Brad Peacock","HOU",0.1,3,0,0,0,0,0,0,0,0.66666667,6.00000006,0.66666667,1,3.191419792175293,8.976251031192163,5401
