Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Adam Ottavino","NYY",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,1247
"Total","Oliver Perez","CLE",13,53,9.69230769,4.15384615,2.33333333,0,0.26415094,0.11320755,0.15094339,0.23913043,1.30769231,0.34375,0.77777778,2.643294548075016,4.260855696230413,1514
"Total","Sean Doolittle","2 Tms",13,65,6.92307692,6.23076923,1.11111111,2.76923077,0.15384615,0.13846154,0.01538461,0.33962264,2.07692308,0.33333333,0.8411215,7.691226515732769,7.174525158617792,1581
"Total","Matt Moore","PHI",12.1,63,8.75675676,5.83783784,1.5,2.91891892,0.19047619,0.12698413,0.06349206,0.33962264,2.10810811,0.35897436,0.58823529,7.353795374968262,5.826630107617294,1890
"Total","Ivan Nova","DET",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,1994
"Total","Clayton Kershaw","LAD",98,392,10.28571429,1.37755102,7.46666667,1.19387755,0.28571429,0.03826531,0.24744898,0.22911051,1.02040816,0.28915663,0.76650943,3.151365290868464,2.9096028369521267,2036
"Total","David Peralta","ARI",0.2,6,0,0,0,0,0,0,0,0.5,4.49999998,0.5,1,3.137579154968262,5.755865595064295,2136
"Total","Ross Detwiler","2 Tms",23.1,99,10.02857143,3.85714286,2.6,0.77142857,0.26262626,0.1010101,0.16161616,0.21348315,1.24285714,0.27868852,0.72519084,3.3343897396552027,4.266936214642419,2859
"Total","Luis Avilan","2 Tms",6.2,41,6.75000001,9.45000001,0.71428571,4.05,0.12195122,0.17073171,-0.04878049,0.34375,2.7,0.32,0.74324324,11.114499483571777,8.59833361900834,2882
"Total","Kenley Jansen","LAD",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,3096
"Total","Tony Watson","2 Tms",24.2,96,6.2027027,1.82432432,3.4,1.45945946,0.17708333,0.05208333,0.125,0.18681319,0.89189189,0.18571429,0.85365854,4.500882161218666,4.321557765160376,3132
"Total","David Price","LAD",12,51,12,3.75,3.2,0.75,0.31372549,0.09803922,0.21568627,0.26086957,1.41666667,0.37931034,0.70512821,2.8042458249682625,2.739134997874499,3184
"Total","T.J. McFarland","OAK",11.2,51,1.54285714,1.54285714,1,1.54285714,0.03921569,0.03921569,0,0.3125,1.45714286,0.29545455,0.92105263,5.848562652175294,5.768642801587266,3237
"Total","Zack Britton","NYY",15,60,6.6,2.4,2.75,0,0.18333333,0.06666667,0.11666666,0.19642857,1,0.24444444,0.66666667,2.524753122175293,3.424615753690402,3240
"Total","Jeff Samardzija","SFG",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,3254
"Total","Joe Smith","HOU",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,3281
"Total","Darren O'Day","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,3321
"Total","Anthony Rizzo","CHC",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,1,12.137579244968261,12.137579244968265,3473
"Total","Danny Duffy","KCR",81,344,9.33333333,3.44444444,2.70967742,1,0.24418605,0.09011628,0.15406977,0.24509804,1.30864198,0.30275229,0.75471698,3.7620773077576137,4.707709525985482,3542
"Total","Yusmeiro Petit","OAK",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,4020
"Total","Hector Santiago","SEA",3.1,15,8.10000001,5.40000001,1.5,0,0.2,0.13333333,0.06666667,0.23076923,1.5,0.3,1,3.137579154968262,4.184893737290563,4026
"Total","Derek Holland","2 Tms",40.1,196,11.38016529,4.01652892,2.83333333,3.12396694,0.26020408,0.09183673,0.16836735,0.31034483,1.78512397,0.36363636,0.7400722,6.725305269632401,4.831282039881107,4141
"Total","Rafael Dolis","TOR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,4185
"Total","Justin Wilson","2 Tms",20.2,99,11.32258065,5.22580645,2.16666667,1.30645161,0.26262626,0.12121212,0.14141414,0.27906977,1.74193548,0.36206897,0.72327044,4.280007895695539,4.415096622868537,4301
"Total","Tyler Chatwood","TOR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,4338
"Total","Nate Jones","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,4696
"Total","Matt Shoemaker","MIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,4776
"Total","Rich Hill","2 Tms",83,327,8.34939759,2.4939759,3.34782609,1.08433735,0.23547401,0.07033639,0.16513762,0.20945946,1.02409639,0.24528302,0.78947368,3.8825259257518656,4.050324246000095,4806
"Total","Mike Montgomery","KCR",4.1,20,4.15384616,2.07692308,2,2.07692308,0.1,0.05,0.05,0.33333333,1.61538462,0.3125,0.35714286,5.960650562175293,5.18558563262025,4869
"Total","Scott Kazmir","SFG",5.1,20,8.43750001,0,5,1.6875,0.25,0,0.25,0.25,0.9375,0.28571429,0.55555556,3.7000791549682623,2.8990081880613214,4897
