Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","David Peralta","ARI",334,0.07185629,0.17365269,0.4137931,0.29449838,0.34431138,0.45631068,0.80062206,0.1618123,0.34285714,48.3904276807379,7.947153138048581,0.34356036279574936,114.89978070129548,2136
"Total","Carlos Santana","2 Tms",338,0.21005917,0.17751479,1.18333333,0.19157088,0.36390533,0.35632184,0.72022717,0.16475096,0.19270833,44.30921633991497,3.211932134657071,0.32727010920643806,105.82960651792767,2396
"Total","Mitch Moreland","3 Tms",207,0.10144928,0.19806763,0.51219512,0.25,0.32850242,0.48913043,0.81763285,0.23913043,0.26315789,30.558014268859022,5.306304941757318,0.3452157808513176,121.3953400364208,3086
"Total","Shin-Soo Choo","TEX",89,0.13483146,0.29213483,0.46153846,0.24324324,0.34831461,0.43243243,0.78074704,0.18918919,0.30434783,12.246594754426026,1.0745649313612216,0.3340722078626806,111.63757656985398,3174
"Total","Robinson Cano","NYM",125,0.048,0.128,0.375,0.33898305,0.368,0.53389831,0.90189831,0.19491526,0.35051546,22.07159961727026,6.380546494988232,0.3802623046982673,143.45069338526974,3269
"Total","Matt Joyce","2 Tms",174,0.16091954,0.25287356,0.63636364,0.22916667,0.35057471,0.30555556,0.65613027,0.07638889,0.31,18.653936389375556,-2.8395423483959554,0.29791995189910714,88.31076111710063,3353
"Total","Anthony Rizzo","CHC",323,0.12074303,0.15479876,0.78,0.22592593,0.34055728,0.44444444,0.78500172,0.21851851,0.22380952,44.32568885357942,5.0309155133541985,0.3342058637916854,110.5522801857379,3473
"Total","Eric Hosmer","SDP",239,0.07949791,0.15899582,0.5,0.29357798,0.35146444,0.46330275,0.81476719,0.16972477,0.31578947,36.246699717380054,7.460573848821174,0.35096547032604697,124.18773087996554,3516
"Total","Eric Thames","WSN",115,0.09565217,0.31304348,0.30555556,0.20792079,0.30434783,0.30693069,0.61127852,0.0990099,0.3015873,10.068884175408034,-4.366884697091433,0.2747541530090466,66.84161039318433,3711
"Total","Josh Reddick","2 Tms",163,0.0797546,0.19631902,0.40625,0.23648649,0.2962963,0.35810811,0.65440441,0.12162162,0.28070175,16.019246572279542,-4.218510283506306,0.28703978032241634,83.11843372293876,3892
