P,P,C,1B,2B,3B,SS,OF,OF,OF,OF
Jordan Montgomery (18268410),Eduardo Rodriguez (18268409),Tucker Barnhart (18268516),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Kyle Schwarber (18268437)
Taijuan Walker (18268404),Max Scherzer (18268394),William Contreras (18268613),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Ramon Urias (18268738),Kyle Schwarber (18268437),Joey Gallo (18268556),Brian Goodwin (18268627)
Zac Gallen (18268400),Max Scherzer (18268394),Pedro Severino (18268720),Shohei Ohtani (18268424),Jace Peterson (18268615),Starlin Castro (18268767),Ramon Urias (18268738),Kyle Schwarber (18268437),Brian Goodwin (18268627),Joey Gallo (18268556)
Zac Gallen (18268400),Sonny Gray (18268408),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Bo Bichette (18268442),Joey Gallo (18268556),Kyle Schwarber (18268437),Brian Goodwin (18268627)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Eric Haase (18268578),Shohei Ohtani (18268424),Ozzie Albies (18268433),Kelvin Gutierrez (18268908),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Jace Peterson (18268615)
Max Scherzer (18268394),Julio Urias (18268397),Riley Adams (18268781),Jared Walsh (18268468),Jace Peterson (18268615),Harold Castro (18268718),Zack Short (18268802),Brian Goodwin (18268627),Shohei Ohtani (18268424),Joey Gallo (18268556)
Eduardo Rodriguez (18268409),Jordan Montgomery (18268410),Michael Perez (18268770),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Brian Goodwin (18268627),Kyle Schwarber (18268437),Joey Gallo (18268556)
Sonny Gray (18268408),Max Scherzer (18268394),Mike Zunino (18268573),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Robbie Grossman (18268631)
Eduardo Rodriguez (18268409),Sonny Gray (18268408),Yadier Molina (18268508),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Kyle Schwarber (18268437),Joey Gallo (18268556),Brian Goodwin (18268627)
Max Scherzer (18268394),Julio Urias (18268397),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Ke'Bryan Hayes (18268500),Zack Short (18268802),Joey Gallo (18268556),Brian Goodwin (18268627),Myles Straw (18268684)
Eduardo Rodriguez (18268409),Taijuan Walker (18268404),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Yandy Diaz (18268632),Trea Turner (18268426),Brian Goodwin (18268627),Kyle Schwarber (18268437),Joey Gallo (18268556)
Max Scherzer (18268394),Zac Gallen (18268400),Riley Adams (18268781),Shohei Ohtani (18268424),Nick Solak (18268630),Jose Ramirez (18268454),Ramon Urias (18268738),Jace Peterson (18268615),Joey Gallo (18268556),Brian Goodwin (18268627)
Sonny Gray (18268408),Zac Gallen (18268400),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Josh Donaldson (18268444),Ramon Urias (18268738),Kyle Schwarber (18268437),Brian Goodwin (18268627),Joey Gallo (18268556)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Martin Maldonado (18268967),Shohei Ohtani (18268424),Jace Peterson (18268615),Yoan Moncada (18268474),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Yordan Alvarez (18268452)
Max Scherzer (18268394),Kyle Gibson (18268406),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Carlos Correa (18268455),Joey Gallo (18268556),Alex Verdugo (18268585),Brian Goodwin (18268627)
Max Scherzer (18268394),Taijuan Walker (18268404),Jorge Alfaro (18268712),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Zack Short (18268802),Brian Goodwin (18268627),Joey Gallo (18268556),Kyle Schwarber (18268437)
