num_L_bats,num_R_bats,is_nl,k_9_l,bb_9_l,k_bb_l,hr_9_l,k_pct_l,bb_pct_l,k_bb_pct_l,bat_avg_l,whip_l,babip_l,lob_pct_l,fip_l,xfip_l,k_9_r,bb_9_r,k_bb_r,hr_9_r,k_pct_r,bb_pct_r,k_bb_pct_r,bat_avg_r,whip_r,babip_r,lob_pct_r,fip_r,xfip_r,k_9_l_tot,bb_9_l_tot,k_bb_l_tot,hr_9_l_tot,k_pct_l_tot,bb_pct_l_tot,k_bb_pct_l_tot,bat_avg_l_tot,whip_l_tot,babip_l_tot,lob_pct_l_tot,fip_l_tot,xfip_l_tot,k_9_r_tot,bb_9_r_tot,k_bb_r_tot,hr_9_r_tot,k_pct_r_tot,bb_pct_r_tot,k_bb_pct_r_tot,bat_avg_r_tot,whip_r_tot,babip_r_tot,lob_pct_r_tot,fip_r_tot,xfip_r_tot,DK sal,DK pts
5,3,1,7.66216216,3.28378378,2.33333333,2.00675676,0.18918919,0.08108108,0.10810811,0.29,1.54054054,0.31543624,0.67092652,5.570841024141778,4.671740590860859,7.23529412,3.17647059,2.27777778,0.70588235,0.19806763,0.08695652,0.11111111,0.2,1.07843137,0.23076923,0.79365079,3.682122597317045,4.530241805681593,38.31081079999999,16.418918899999998,11.66666665,10.0337838,0.94594595,0.4054054,0.54054055,1.45,7.7027027000000015,1.5771811999999998,3.3546326,27.85420512070889,23.358702954304288,21.70588236,9.52941177,6.83333334,2.11764705,0.59420289,0.26086956,0.33333333,0.6000000000000001,3.23529411,0.69230769,2.38095237,11.046367791951132,13.590725417044778,6400.0,43.45
3,5,1,7.86754967,3.75496689,2.0952381,0.71523179,0.1938326,0.09251101,0.10132159,0.27450979999999997,1.52980132,0.33121019,0.74585635,3.7649829699616,4.748156864797507,7.53488372,1.72674419,4.36363636,1.09883721,0.20869565,0.04782609,0.16086956,0.24644549999999998,1.09883721,0.28125,0.62937063,3.86718232494173,4.0051323448487315,23.60264901,11.26490067,6.2857142999999995,2.1456953700000003,0.5814978,0.27753303,0.30396477,0.8235294000000001,4.58940396,0.99363057,2.23756905,11.2949489098848,14.244470594392519,37.6744186,8.63372095,21.8181818,5.49418605,1.0434782500000002,0.23913045,0.8043478000000001,1.2322275,5.49418605,1.40625,3.14685315,19.335911624708647,20.025661724243665,8100.0,0.8
2,6,1,18.0,9.0,2.0,0.0,0.47058824,0.23529412,0.23529412,0.07692308,1.25,0.2,0.8,2.15103931427002,2.587420389801264,3.85714285,5.78571428,0.66666667,1.92857143,0.0952381,0.14285714,-0.04761904,0.22857143,1.5,0.2,0.44642857,6.998567764785245,6.722442086586256,36.0,18.0,4.0,0.0,0.94117648,0.47058824,0.47058824,0.15384616,2.5,0.4,1.6,4.30207862854004,5.174840779602528,23.142857100000004,34.71428568,4.00000002,11.57142858,0.5714286000000001,0.85714284,-0.28571424,1.37142858,9.0,1.2000000000000002,2.67857142,41.99140658871147,40.33465251951754,4900.0,19.15
2,6,1,7.10526316,3.78947368,1.875,0.0,0.1875,0.1,0.0875,0.23880597,1.26315789,0.29090909,0.65384615,3.171583767941123,5.0421494309839465,9.03964758,3.21145374,2.81481481,0.71365639,0.23676012,0.08411215,0.15264797,0.24475524,1.28193833,0.31067961,0.81395349,3.49928384691106,3.827915183847745,14.21052632,7.57894736,3.75,0.0,0.375,0.2,0.175,0.47761194,2.52631578,0.58181818,1.3076923,6.343167535882246,10.084298861967893,54.23788548,19.26872244,16.88888886,4.28193834,1.42056072,0.5046729,0.91588782,1.46853144,7.69162998,1.86407766,4.88372094,20.99570308146636,22.967491103086466,7500.0,6.85
2,6,1,6.40206186,2.22680412,2.875,0.83505155,0.16788321,0.05839416,0.10948905,0.25806452,1.2371134,0.29,0.6443299,3.97056588697358,4.982849484836042,7.78651685,3.43820225,2.26470588,1.21348315,0.20316623,0.08970976,0.11345647,0.24924925,1.31460674,0.27843137,0.7312253000000001,4.365435936446743,5.01500324149055,12.80412372,4.45360824,5.75,1.6701031000000002,0.33576642,0.11678832,0.21897809999999998,0.51612904,2.4742268,0.58,1.2886598,7.94113177394716,9.965698969672085,46.7191011,20.629213500000002,13.58823528,7.2808989,1.21899738,0.53825856,0.68073882,1.4954955,7.88764044,1.67058822,4.387351799999999,26.192615618680453,30.090019448943305,7900.0,2.9
3,5,1,8.70394737,3.375,2.57894737,0.88815789,0.22171946,0.08597285,0.13574661,0.27040816,1.42105263,0.33333333,0.86956522,3.8750257935717776,4.232606300401216,9.51923077,1.90384615,5.0,1.90384615,0.24886878,0.04977376,0.19909502,0.24,1.13461538,0.26811594,0.625,4.775742506094313,3.49533514724328,26.11184211,10.125,7.736842109999999,2.66447367,0.66515838,0.25791855,0.40723983,0.81122448,4.26315789,0.99999999,2.60869566,11.625077380715332,12.697818901203652,47.59615385,9.51923075,25.0,9.51923075,1.2443438999999998,0.2488688,0.9954751,1.2,5.6730769,1.3405797,3.125,23.878712530471567,17.4766757362164,7300.0,5.65
6,2,1,11.73103448,4.46896552,2.625,0.74482759,0.31979695,0.12182741,0.19796954,0.15060241,1.0137931,0.20792079,0.82644628,3.4247390971943865,4.279755694365745,15.2,3.0,5.06666667,0.8,0.42937853,0.08474576,0.34463277,0.1625,0.91111111,0.27160494,0.71428571,1.9975775568280707,2.248386087351375,70.38620688,26.81379312,15.75,4.46896554,1.9187817000000005,0.73096446,1.18781724,0.90361446,6.082758599999999,1.24752474,4.95867768,20.54843458316632,25.678534166194467,30.4,6.0,10.13333334,1.6,0.85875706,0.16949152,0.68926554,0.325,1.82222222,0.54320988,1.42857142,3.995155113656141,4.49677217470275,10100.0,31.25
6,2,1,6.0,2.4,2.5,1.8,0.14705882,0.05882353,0.08823529,0.26229508,1.33333333,0.27083333,0.90425532,5.835353748699845,4.3435859127296785,5.63592233,2.3592232999999996,2.38888889,1.31067961,0.14333333,0.06,0.08333333,0.28467153,1.39805825,0.30088496,0.78823529,4.725888251370551,4.555392927818711,36.0,14.4,15.0,10.8,0.88235292,0.35294118,0.52941174,1.57377048,7.99999998,1.62499998,5.42553192,35.01212249219907,26.06151547637808,11.27184466,4.718446599999999,4.77777778,2.62135922,0.28666666,0.12,0.16666666,0.56934306,2.7961165,0.60176992,1.57647058,9.451776502741103,9.110785855637422,7700.0,7.3
3,5,1,9.48648649,7.2972972999999985,1.3,1.45945946,0.20967742,0.16129032,0.048387099999999995,0.28846154,2.02702703,0.35135135,0.67567568,5.600569784472404,4.5276180350832185,14.85,4.95,3.0,1.35,0.38372093,0.12790698,0.25581395,0.2,1.3,0.30769231,0.73394495,3.460012753795551,3.048534238081144,28.45945947,21.8918919,3.9,4.37837838,0.62903226,0.48387096,0.1451613,0.86538462,6.0810810900000005,1.05405405,2.02702704,16.80170935341721,13.582854105249655,74.25,24.75,15.0,6.75,1.91860465,0.6395349,1.27906975,1.0,6.5,1.53846155,3.66972475,17.300063768977758,15.242671190405721,4000.0,2.7
2,6,1,10.125,0.0,9.0,0.0,0.24324324,0.0,0.24324324,0.33333333,1.375,0.42307692,0.84615385,1.6510393142700197,2.110264484584332,9.11688312,3.50649351,2.6,1.05194805,0.2300885000000001,0.08849558,0.14159292,0.28571429,1.48051948,0.34246575,0.54597701,3.92449145457526,4.888879973095124,20.25,0.0,18.0,0.0,0.48648648,0.0,0.48648648,0.66666666,2.75,0.84615384,1.6923077000000002,3.3020786285400394,4.220528969168663,54.70129872,21.03896106,15.6,6.3116883,1.3805310000000004,0.53097348,0.8495575200000001,1.7142857399999998,8.883116880000003,2.0547945,3.27586206,23.546948727451557,29.333279838570746,7000.0,18.4
2,7,0,12.46153847,2.07692308,6.0,0.0,0.26086957,0.04347826,0.21739131,0.40909091,2.30769231,0.5625,0.8,1.060656074968262,2.671909279648495,10.93670886,2.73417722,4.0,1.36708861,0.31372549,0.07843137,0.23529412,0.21276596,1.06329114,0.27586207,0.80357143,3.5932753549682617,2.8780207400129214,24.92307694,4.15384616,12.0,0.0,0.52173914,0.08695652,0.43478262,0.81818182,4.61538462,1.125,1.6,2.121312149936524,5.34381855929699,76.55696202,19.13924054,28.0,9.56962027,2.19607843,0.54901959,1.64705884,1.48936172,7.44303798,1.93103449,5.62500001,25.152927484777827,20.14614518009045,8200.0,3.95
1,7,1,14.27586207,1.86206897,7.66666667,1.24137931,0.44230769,0.05769231,0.38461538,0.16326531,0.75862069,0.25,0.79268293,2.4043316388306377,1.9382467401158083,11.64,5.28,2.20454545,1.68,0.28529412,0.12941176,0.15588236,0.24149659999999998,1.53333333,0.30978261,0.82987552,4.803661952546165,3.738800980777468,14.27586207,1.86206897,7.66666667,1.24137931,0.44230769,0.05769231,0.38461538,0.16326531,0.75862069,0.25,0.79268293,2.4043316388306377,1.9382467401158083,81.48,36.96,15.43181815,11.76,1.99705884,0.90588232,1.09117652,1.6904762,10.73333331,2.16847827,5.80912864,33.625633667823145,26.17160686544227,9400.0,6.2
3,5,1,7.2295082,2.06557377,3.5,1.32786885,0.2,0.05714286,0.14285714,0.23245614,1.09836066,0.25433526,0.625,4.165529212537694,4.12050212654554,10.2761194,2.01492537,5.1,2.41791045,0.26153846,0.05128205,0.21025641,0.27322404,1.34328358,0.31666667,0.79646018,5.185451780573464,3.5846480077509466,21.6885246,6.196721309999999,10.5,3.98360655,0.6000000000000001,0.17142858,0.42857142,0.69736842,3.29508198,0.7630057800000001,1.875,12.496587637613082,12.36150637963662,51.380596999999995,10.07462685,25.5,12.08955225,1.3076922999999998,0.25641025,1.05128205,1.3661202,6.716417900000001,1.58333335,3.9823009,25.927258902867322,17.923240038754734,9400.0,27.9
3,5,1,9.43373494,1.95180723,4.83333333,0.86746988,0.26687117,0.05521472,0.21165645,0.19666667,0.92771084,0.24637681,0.82172702,3.1919473891832126,3.6331397346605336,12.46153846,1.8,6.92307692,0.55384615,0.3515625,0.05078125,0.30078125,0.20920502,0.96923077,0.31506849,0.86092715,1.9311072381666228,2.968152120171745,28.30120482,5.85542169,14.49999999,2.6024096400000003,0.80061351,0.16564416,0.63496935,0.59000001,2.78313252,0.73913043,2.46518106,9.575842167549636,10.8994192039816,62.30769229999999,9.0,34.6153846,2.76923075,1.7578125,0.25390625,1.50390625,1.0460251,4.84615385,1.57534245,4.30463575,9.655536190833113,14.840760600858724,10700.0,18.4
4,4,1,8.82692308,1.29807692,6.8,1.81730769,0.23943662,0.03521127,0.20422535,0.26394052,1.16826923,0.3,0.86750789,4.354180712439326,3.7863332877483926,5.69058296,1.0896861,5.22222222,1.4529148,0.15409836,0.0295082,0.12459016,0.26712329,1.17040359,0.28085106,0.78947368,4.442888540324257,4.043192551022464,35.30769232,5.19230768,27.2,7.26923076,0.95774648,0.14084508,0.8169014,1.05576208,4.67307692,1.2,3.47003156,17.416722849757303,15.14533315099357,22.76233184,4.3587444,20.88888888,5.8116592,0.61639344,0.1180328,0.49836064,1.06849316,4.68161436,1.12340424,3.15789472,17.77155416129703,16.172770204089858,8800.0,29.1
2,6,1,10.6875,2.8125,3.8,1.125,0.27142857,0.07142857,0.2,0.22580645,1.1875,0.28571429,0.87912088,3.71353931427002,4.5457454666495325,9.5,6.0,1.58333333,1.25,0.24516129,0.15483871,0.09032258,0.18604651,1.33333333,0.2183908,0.80952381,4.9303126675257705,5.436372721691924,21.375,5.625,7.6,2.25,0.54285714,0.14285714,0.4,0.4516129,2.375,0.57142858,1.75824176,7.42707862854004,9.091490933299065,57.0,36.0,9.49999998,7.5,1.47096774,0.92903226,0.54193548,1.11627906,7.99999998,1.3103448,4.85714286,29.581876005154623,32.618236330151554,6300.0,8.85
4,4,1,5.31818182,2.86363636,1.85714286,2.45454545,0.13333333,0.07179487,0.06153846,0.29545455,1.5,0.28985507,0.75645756,6.840313611799253,5.321381787530868,7.24390244,2.85365854,2.53846154,1.09756098,0.20754717,0.08176101,0.12578616,0.18181818,0.95121951,0.19626168,0.72727273,4.172597455595099,4.132802015450444,21.27272728,11.45454544,7.42857144,9.818181800000001,0.53333332,0.28717948,0.24615384,1.1818182,6.0,1.15942028,3.02583024,27.361254447197012,21.28552715012347,28.97560976,11.41463416,10.15384616,4.39024392,0.83018868,0.32704404,0.50314464,0.72727272,3.80487804,0.78504672,2.90909092,16.690389822380396,16.531208061801774,6500.0,11.55
5,3,1,4.90909091,1.63636364,3.0,0.81818182,0.13953488,0.04651163,0.09302325,0.24390244,1.09090909,0.26470588,0.75471698,3.78536353617768,5.000419649826698,9.75,1.5,6.5,1.5,0.2826087,0.04347826,0.23913044,0.18181818,0.83333333,0.20689655,0.97222222,3.654030460796477,3.584726399363797,24.54545455,8.181818199999999,15.0,4.090909099999998,0.6976744,0.23255815,0.46511625,1.2195122,5.45454545,1.3235294,3.7735849000000004,18.926817680888398,25.002098249133486,29.25,4.5,19.5,4.5,0.8478261,0.13043478,0.7173913199999999,0.5454545399999999,2.49999999,0.6206896500000001,2.91666666,10.962091382389431,10.754179198091391,5600.0,18.25
4,4,1,7.38,4.32,1.70833333,1.8,0.17903929999999998,0.10480349,0.07423581,0.29441624,1.64,0.31788079,0.69014085,5.7394743474288665,5.114376907245704,6.27464789,2.66197183,2.35714286,1.33098592,0.16666667,0.07070707,0.0959596,0.27322404,1.35211268,0.3006993,0.76086957,4.64375187299065,4.417175218301206,29.52,17.28,6.83333332,7.2,0.7161571999999999,0.41921396,0.29694324,1.17766496,6.56,1.27152316,2.7605633999999997,22.957897389715466,20.457507628982817,25.09859156,10.64788732,9.42857144,5.32394368,0.66666668,0.28282828,0.3838384,1.09289616,5.40845072,1.2027972,3.04347828,18.5750074919626,17.668700873204823,6900.0,4.45
3,5,1,11.88,3.6719999999999997,3.23529412,0.648,0.31976744,0.09883721,0.22093023,0.18421053,1.08,0.26041667,0.81339713,2.751976860045663,2.8521013214088327,9.18,3.96,2.31818182,0.72,0.23720929999999998,0.10232558,0.13488372,0.21693122,1.26,0.27205882,0.77441077,3.593731346130371,3.8304241850972174,35.64,11.015999999999998,9.70588236,1.944,0.95930232,0.29651163,0.66279069,0.5526315900000001,3.24,0.78125001,2.44019139,8.25593058013699,8.556303964226498,45.9,19.8,11.5909091,3.6,1.1860465,0.5116279,0.6744186000000001,1.0846561,6.3,1.3602941000000002,3.87205385,17.968656730651855,19.152120925486084,9400.0,7.6
2,6,1,7.10526316,3.78947368,1.875,0.0,0.1875,0.1,0.0875,0.23880597,1.26315789,0.29090909,0.65384615,3.171583767941123,5.0421494309839465,9.03964758,3.21145374,2.81481481,0.71365639,0.23676012,0.08411215,0.15264797,0.24475524,1.28193833,0.31067961,0.81395349,3.49928384691106,3.827915183847745,14.21052632,7.57894736,3.75,0.0,0.375,0.2,0.175,0.47761194,2.52631578,0.58181818,1.3076923,6.343167535882246,10.084298861967893,54.23788548,19.26872244,16.88888886,4.28193834,1.42056072,0.5046729,0.91588782,1.46853144,7.69162998,1.86407766,4.88372094,20.99570308146636,22.967491103086466,8300.0,22.25
4,4,1,5.14285714,4.5,1.14285714,1.07142857,0.13636364,0.11931818,0.01704546,0.21568627,1.28571429,0.22222222,0.85106383,5.071825213438778,4.960958393060026,7.55244755,3.58741259,2.10526316,1.88811189,0.18779343,0.08920188,0.09859155,0.24324324,1.34265734,0.25,0.68518519,5.664956307073545,4.7295268309804674,20.57142856,18.0,4.57142856,4.28571428,0.54545456,0.47727272,0.06818184,0.86274508,5.14285716,0.88888888,3.40425532,20.287300853755113,19.843833572240104,30.2097902,14.34965036,8.42105264,7.55244756,0.75117372,0.35680752,0.3943662,0.97297296,5.37062936,1.0,2.74074076,22.65982522829418,18.91810732392187,7500.0,24.15
3,6,0,5.93406593,2.96703297,2.0,2.37362637,0.13888889,0.06944444,0.06944445,0.31538462,1.68131868,0.31730769,0.52631579,6.445523906688126,5.896893740619872,9.54545455,3.27272727,2.91666667,1.63636364,0.21472393,0.07361963,0.1411043,0.34666667,1.93939394,0.41818182,0.70143885,4.4796140020871915,3.7360456906731487,17.80219779,8.90109891,6.0,7.1208791100000015,0.41666667,0.20833332,0.20833335000000006,0.94615386,5.0439560399999985,0.95192307,1.57894737,19.336571720064374,17.690681221859613,57.27272729999999,19.63636362,17.50000002,9.81818184,1.28834358,0.4417177800000001,0.8466258,2.08000002,11.63636364,2.50909092,4.2086331,26.877684012523154,22.41627414403889,5000.0,-8.65
4,5,0,9.45985402,7.68613139,1.23076923,1.97080292,0.23414634,0.1902439,0.04390244,0.17901235,1.4890511,0.18095238,0.78947368,6.668738609599678,5.9679073078313305,6.94852941,3.77205882,1.84210526,0.99264706,0.18817204,0.10215054,0.0860215,0.18292683,1.08088235,0.2,0.84090909,4.443515346531481,5.829957336469027,37.83941608,30.74452556,4.92307692,7.88321168,0.93658536,0.7609756,0.17560976,0.7160494000000001,5.9562044,0.72380952,3.15789472,26.67495443839871,23.871629231325322,34.74264705,18.8602941,9.210526300000001,4.963235299999999,0.9408601999999999,0.5107527000000001,0.4301075,0.91463415,5.40441175,1.0,4.20454545,22.217576732657403,29.149786682345137,7400.0,-4.45
4,5,0,5.4,0.9,6.0,0.9,0.14285714,0.02380952,0.11904762,0.3,1.3,0.32352941,0.43103448,3.537579154968262,5.204970468580723,13.49999999,2.7,5.0,1.35,0.32258065,0.06451613,0.25806452,0.22222222,1.2,0.3125,0.81395349,3.8875791549682615,4.03220831707092,21.6,3.6,24.0,3.6,0.57142856,0.09523808,0.47619048,1.2,5.2,1.29411764,1.72413792,14.150316619873047,20.819881874322885,67.49999994999999,13.5,25.0,6.75,1.61290325,0.32258065,1.2903226,1.1111111,6.0,1.5625,4.06976745,19.43789577484131,20.161041585354603,6700.0,26.0
3,6,0,8.07692308,3.46153846,2.33333333,1.84615385,0.20588235,0.08823529,0.11764706,0.24666667,1.33333333,0.26363636,0.60747664,5.343756565373983,4.579834469562396,7.94117647,3.35294118,2.36842105,1.41176471,0.19650655,0.08296943,0.11353712,0.2970297,1.54901961,0.34210526,0.68681319,4.844615740751013,4.265998888210489,24.23076924,10.38461538,6.999999989999999,5.53846155,0.61764705,0.26470587,0.35294118,0.74000001,3.99999999,0.79090908,1.82242992,16.03126969612195,13.739503408687188,47.64705882,20.11764708,14.210526299999998,8.47058826,1.1790393,0.49781658,0.6812227200000001,1.7821782000000002,9.29411766,2.05263156,4.12087914,29.067694444506074,25.595993329262928,7300.0,0.95
4,5,0,5.93406593,2.96703297,2.0,2.37362637,0.13888889,0.06944444,0.06944445,0.31538462,1.68131868,0.31730769,0.52631579,6.445523906688126,5.896893740619872,9.54545455,3.27272727,2.91666667,1.63636364,0.21472393,0.07361963,0.1411043,0.34666667,1.93939394,0.41818182,0.70143885,4.4796140020871915,3.7360456906731487,23.73626372,11.86813188,8.0,9.49450548,0.55555556,0.27777776,0.27777779999999996,1.26153848,6.72527472,1.26923076,2.10526316,25.782095626752504,23.587574962479486,47.72727275,16.36363635,14.58333335,8.181818199999999,1.07361965,0.36809815,0.7055214999999999,1.73333335,9.696969699999999,2.0909091,3.5071942499999995,22.398070010435962,18.680228453365746,6000.0,-3.3
4,5,0,10.87012987,5.61038961,1.9375,2.1038961,0.26956522,0.13913043,0.13043479,0.23469388,1.51948052,0.27419355,0.65359477,5.650664058496185,5.295669079303046,8.12903226,3.48387097,2.33333333,1.4516129,0.1971831,0.08450704,0.11267606,0.3046875,1.64516129,0.35051546,0.70454545,4.6054021392828695,4.982896330113672,43.48051948,22.44155844,7.75,8.4155844,1.07826088,0.55652172,0.52173916,0.93877552,6.07792208,1.0967742,2.61437908,22.60265623398474,21.182676317212184,40.64516130000001,17.419354849999998,11.66666665,7.258064500000001,0.9859155000000001,0.4225352,0.5633803000000001,1.5234375,8.22580645,1.7525773,3.52272725,23.02701069641435,24.914481650568362,6200.0,7.0
3,6,0,2.7,3.78,0.71428571,0.81,0.06369427,0.08917197,-0.025477700000000002,0.34042553,1.86,0.34883721,0.68027211,5.068347282412899,5.5710281276360165,8.12030075,4.26315789,1.9047618999999998,0.81203008,0.22099448,0.1160221,0.10497238,0.18987342,1.15037594,0.22807018,0.71729958,4.082632026024541,4.515314236573143,8.100000000000001,11.34,2.14285713,2.43,0.19108281,0.26751591,-0.0764331,1.0212765899999998,5.58,1.04651163,2.04081633,15.205041847238695,16.71308438290805,48.72180450000001,25.57894734,11.428571400000001,4.87218048,1.32596688,0.6961326,0.6298342800000001,1.13924052,6.90225564,1.36842108,4.30379748,24.49579215614725,27.091885419438857,5100.0,5.9
