,team code, game_date, game_number, mlb id,Name, batting order, confirmed, position,num_L_bats,num_R_bats,is_nl,k_9_l,bb_9_l,k_bb_l,hr_9_l,k_pct_l,bb_pct_l,k_bb_pct_l,bat_avg_l,whip_l,babip_l,lob_pct_l,fip_l,xfip_l,k_9_r,bb_9_r,k_bb_r,hr_9_r,k_pct_r,bb_pct_r,k_bb_pct_r,bat_avg_r,whip_r,babip_r,lob_pct_r,fip_r,xfip_r,k_9_l_tot,bb_9_l_tot,k_bb_l_tot,hr_9_l_tot,k_pct_l_tot,bb_pct_l_tot,k_bb_pct_l_tot,bat_avg_l_tot,whip_l_tot,babip_l_tot,lob_pct_l_tot,fip_l_tot,xfip_l_tot,k_9_r_tot,bb_9_r_tot,k_bb_r_tot,hr_9_r_tot,k_pct_r_tot,bb_pct_r_tot,k_bb_pct_r_tot,bat_avg_r_tot,whip_r_tot,babip_r_tot,lob_pct_r_tot,fip_r_tot,xfip_r_tot,Date,GID,MLB_ID,Starter,Bat order,DK posn,DK pts,DK sal,Team,Oppt,dblhdr,Tm Runs,Opp Runs
0,PIT,6/14/2021,1,664141,JT Brubaker,SP,N,,3,5,1,8.70394737,3.375,2.57894737,0.88815789,0.22171946,0.08597285,0.13574661,0.27040816,1.42105263,0.33333333,0.86956522,3.8750257935717776,4.232606300401216,9.51923077,1.90384615,5.0,1.90384615,0.24886878,0.04977376,0.19909502,0.24,1.13461538,0.26811594,0.625,4.775742506094313,3.4953351472432796,26.111842109999998,10.125,7.7368421099999996,2.66447367,0.66515838,0.25791855,0.40723982999999997,0.81122448,4.26315789,0.99999999,2.60869566,11.625077380715332,12.69781890120365,47.59615385,9.51923075,25.0,9.51923075,1.2443439,0.2488688,0.9954751000000001,1.2,5.6730769,1.3405797,3.125,23.878712530471567,17.4766757362164,20210614,158j,664141,1.0,9,1,5.65,7300,PIT,@ was,,2,3
1,WAS,6/14/2021,1,452657,Jon Lester,SP,N,,2,6,1,7.36363636,1.96363636,3.75,0.49090909,0.2173913,0.05797101,0.15942029,0.23809524,1.03636364,0.28571429,0.73863636,2.8893249018752094,3.58295814673,6.02575107,2.89699571,2.08,1.73819742,0.15116279,0.07267442,0.07848837,0.27619048,1.44206009,0.28915663,0.77659574,5.427307994963473,5.25191150995905,14.72727272,3.92727272,7.5,0.98181818,0.4347826,0.11594202,0.31884058,0.47619048,2.07272728,0.57142858,1.47727272,5.778649803750419,7.16591629346,36.154506420000004,17.38197426,12.48,10.42918452,0.90697674,0.43604652,0.47093022,1.65714288,8.65236054,1.7349397800000002,4.65957444,32.56384796978084,31.511469059754297,20210614,1506,452657,1.0,9,1,7.8,6700,WAS,v pit,,3,2
2,CHC,6/14/2021,1,453562,Jake Arrieta,SP,N,,4,4,1,7.38,4.32,1.70833333,1.8,0.17903929999999998,0.10480349,0.07423581,0.29441624,1.64,0.31788079,0.69014085,5.7394743474288665,5.114376907245704,6.27464789,2.66197183,2.35714286,1.33098592,0.16666667,0.07070707,0.0959596,0.27322404,1.35211268,0.3006993,0.76086957,4.64375187299065,4.417175218301206,29.52,17.28,6.83333332,7.2,0.7161571999999999,0.41921396,0.29694324,1.17766496,6.56,1.27152316,2.7605634,22.957897389715466,20.457507628982817,25.09859156,10.64788732,9.42857144,5.32394368,0.66666668,0.28282828,0.3838384,1.09289616,5.40845072,1.2027972,3.04347828,18.5750074919626,17.668700873204823,20210614,100x,453562,1.0,9,1,4.45,6900,CHC,@ nym,,2,5
3,NYM,6/14/2021,1,656849,David Peterson,SP,N,,3,5,1,11.63793104,3.72413793,3.125,0.46551724,0.30120482,0.09638554,0.20481928,0.26388889,1.39655172,0.38297872,0.86956522,2.801502216718579,2.9794710014549217,7.71428571,4.33928571,1.77777778,1.56696429,0.20447284,0.11501597,0.08945687,0.21611722,1.27232143,0.23469388,0.71782178,5.322912713459753,4.829467618600777,34.91379312,11.17241379,9.375,1.39655172,0.90361446,0.28915662000000003,0.61445784,0.7916666699999999,4.18965516,1.1489361599999999,2.60869566,8.404506650155737,8.938413004364765,38.57142855,21.69642855,8.888888900000001,7.83482145,1.0223642,0.57507985,0.44728435,1.0805861,6.36160715,1.1734693999999999,3.5891089,26.614563567298767,24.147338093003885,20210614,159n,656849,1.0,9,1,21.7,7600,NYM,v chc,,5,2
4,TOR,6/14/2021,1,666201,Alek Manoah,SP,N,,2,7,0,13.49999998,13.49999998,1.0,6.74999999,0.26666667,0.26666667,0.0,0.27272727,2.625,0.2,0.95238095,14.38757914496826,6.601293990529218,10.79999999,1.35,8.0,1.35,0.32,0.04,0.28,0.13043478,0.6,0.14285714,1.0,3.5875791549682616,3.7322083172209193,26.99999996,26.99999996,2.0,13.49999998,0.53333334,0.53333334,0.0,0.54545454,5.25,0.4,1.9047619,28.77515828993652,13.202587981058436,75.59999993,9.450000000000001,56.0,9.450000000000001,2.24,0.28,1.9600000000000002,0.91304346,4.2,0.9999999799999999,7.0,25.113054084777833,26.125458220546435,20210614,166d,666201,1.0,0,1,18.5,8200,TOR,@ bos,,1,2
5,BOS,6/14/2021,1,543135,Nathan Eovaldi,SP,N,,3,6,0,8.902702699999997,1.75135135,5.08333333,0.43783784,0.25311203,0.04979253,0.2033195,0.20089286,0.92432432,0.25925926,0.62724014,2.544645372681062,3.7695672681695713,9.45,1.51875,6.22222222,1.18125,0.23628692,0.03797468,0.19831224,0.31838565,1.5,0.4,0.83776596,3.5532019138342488,2.912937127737109,26.70810809999999,5.25405405,15.249999990000001,1.3135135199999999,0.7593360899999999,0.14937759,0.6099585,0.6026785800000001,2.7729729599999997,0.77777778,1.8817204199999997,7.633936118043186,11.308701804508715,56.699999999999996,9.1125,37.33333332,7.0874999999999995,1.4177215200000002,0.22784807999999998,1.18987344,1.9103139000000002,9.0,2.4000000000000004,5.02659576,21.319211483005493,17.477622766422655,20210614,108f,543135,1.0,0,1,20.6,8600,BOS,v tor,,2,1
6,BAL,6/14/2021,1,665152,Dean Kremer,SP,N,,4,5,0,10.87012987,5.61038961,1.9375,2.1038961,0.26956522,0.13913043,0.13043479,0.23469388,1.51948052,0.27419355,0.65359477,5.650664058496185,5.295669079303046,8.12903226,3.48387097,2.33333333,1.4516129,0.1971831,0.08450704,0.11267606,0.3046875,1.64516129,0.35051546,0.70454545,4.6054021392828695,4.982896330113672,43.48051948,22.44155844,7.75,8.4155844,1.07826088,0.55652172,0.52173916,0.93877552,6.07792208,1.0967742,2.61437908,22.60265623398474,21.182676317212184,40.645161300000005,17.419354849999998,11.66666665,7.2580645,0.9859155,0.4225352,0.5633803,1.5234375,8.22580645,1.7525773,3.52272725,23.027010696414347,24.91448165056836,20210614,162t,665152,1.0,0,1,7.0,6200,BAL,@ cle,,3,4
7,CIN,6/14/2021,1,661269,Vladimir Gutierrez,SP,N,,4,4,1,4.5,9.0,0.5,0.0,0.11764706,0.23529412,-0.11764706,0.07692308,1.25,0.09090909,1.0,5.137579154968262,7.755865608155728,6.0,1.5,4.0,1.5,0.17391304,0.04347826,0.13043478,0.19047619,0.83333333,0.17647059,0.55555556,4.470912484968261,4.631611557801565,18.0,36.0,2.0,0.0,0.47058824,0.94117648,-0.47058824,0.30769232,5.0,0.36363636,4.0,20.550316619873048,31.02346243262291,24.0,6.0,16.0,6.0,0.69565216,0.17391304,0.52173912,0.76190476,3.33333332,0.70588236,2.22222224,17.883649939873045,18.52644623120626,20210614,166f,661269,1.0,9,1,21.9,6900,CIN,@ mil,,10,2
8,MIL,6/14/2021,1,641778,Eric Lauer,SP,N,,2,6,1,6.09677419,1.74193548,3.5,0.87096774,0.1627907,0.04651163,0.11627907,0.225,1.06451613,0.25,0.47169811,3.925667062965578,4.054347699498779,11.67567568,4.37837838,2.66666667,3.28378378,0.26229508,0.09836066,0.16393442,0.34285714,1.94594595,0.39705882,0.65934066,6.885498289427737,4.23479444485994,12.19354838,3.48387096,7.0,1.74193548,0.3255814,0.09302326,0.23255814,0.45,2.12903226,0.5,0.94339622,7.851334125931156,8.108695398997558,70.05405408,26.27027028,16.00000002,19.702702679999998,1.57377048,0.59016396,0.9836065199999999,2.05714284,11.6756757,2.3823529199999998,3.95604396,41.31298973656642,25.40876666915964,20210614,146t,641778,1.0,9,1,3.85,7900,MIL,v cin,,2,10
9,KC,6/14/2021,1,641745,Brad Keller,SP,N,,5,4,0,7.26395939,3.97461929,1.82758621,0.95939086,0.18402778,0.10069444,0.08333334,0.26190476,1.44670051,0.30102041,0.77097506,4.397592059481327,4.21604036740326,6.64925373,2.61940299,2.53846154,0.60447761,0.17460317,0.06878307,0.1058201,0.25294118,1.25373134,0.28985507,0.63197026,3.5674845435717786,4.405219270318443,36.31979695,19.873096450000002,9.13793105,4.7969542999999994,0.9201389,0.5034722,0.41666670000000006,1.3095238,7.233502550000001,1.50510205,3.8548753000000002,21.987960297406634,21.0802018370163,26.59701492,10.47761196,10.15384616,2.41791044,0.69841268,0.27513228,0.4232804,1.01176472,5.01492536,1.15942028,2.52788104,14.269938174287114,17.620877081273772,20210614,145w,641745,1.0,0,1,3.25,6400,KAN,v det,,3,10
